Class,Subject,Chapter,Section,Type,Question,Answer
Class 7,Maths,Algebraic Expressions,Section B,SHORT ANSWER,Subtract the sum of (3x - 4y + 7z) and (-2x + 6y - 5z) from (5x - y - 2z).,The sum is (3x - 2x) + (-4y + 6y) + (7z - 5z) = x + 2y + 2z. Subtracting this from 5x - y - 2z gives (5x - x) + (-y - 2y) + (-2z - 2z) = 4x - 3y - 4z.
Class 7,Maths,Algebraic Expressions,Section B,SHORT ANSWER,Simplify the expression 2x - [3y - {2x - (y - x)}].,First solve the innermost bracket {2x - y + x} = {3x - y}. Next solve 3y - {3x - y} = 3y - 3x + y = 4y - 3x. Finally 2x - [4y - 3x] = 2x - 4y + 3x = 5x - 4y.
Class 7,Maths,Algebraic Expressions,Section B,SHORT ANSWER,If P = 7x^2 + 5xy - 9y^2 and Q = 4y^2 - 3x^2 - 6xy find the value of P + Q.,Adding like terms we get P + Q = (7x^2 - 3x^2) + (5xy - 6xy) + (-9y^2 + 4y^2) = 4x^2 - xy - 5y^2.
Class 7,Maths,Algebraic Expressions,Section C,LONG ANSWER,From the sum of 4 + 3x and 5 - 4x + 2x^2 subtract the sum of 3x^2 - 5x and -x^2 + 2x + 5.,First sum is 4 + 3x + 5 - 4x + 2x^2 = 2x^2 - x + 9. Second sum is 3x^2 - 5x - x^2 + 2x + 5 = 2x^2 - 3x + 5. Subtracting second sum from first gives (2x^2 - x + 9) - (2x^2 - 3x + 5) = 2x^2 - 2x^2 - x + 3x + 9 - 5 = 2x + 4.
Class 7,Maths,Simple Equations,Section A,MCQ,If 3x - 5 = 10 then what is the value of x? a) 3 b) 4 c) 5 d) 6,c) 5
Class 7,Maths,Simple Equations,Section A,MCQ,The root of the equation z/3 + 5 = 8 is? a) 3 b) 6 c) 9 d) 12,c) 9
Class 7,Maths,Simple Equations,Section A,MCQ,Which of the following equations has x = 2 as a solution? a) 2x + 1 = 5 b) 3x - 2 = 6 c) 4x - 1 = 9 d) 5x + 2 = 10,a) 2x + 1 = 5
Class 7,Maths,Simple Equations,Section A,MCQ,5 times a number decreased by 2 is 13. The number is? a) 2 b) 3 c) 4 d) 5,b) 3
Class 7,Maths,Simple Equations,Section A,MCQ,What is the value of p if 4p - 2 = 2p + 8? a) 3 b) 4 c) 5 d) 6,c) 5
Class 7,Maths,Simple Equations,Section A,MCQ,If 2y - 1/2 = 3/2 then what is the value of y? a) 1 b) 2 c) 1.5 d) 0.5,a) 1
Class 7,Maths,Simple Equations,Section B,SHORT ANSWER,Solve the equation 3(y - 2) = 2(y + 1) - 3.,Expanding both sides gives 3y - 6 = 2y + 2 - 3. This simplifies to 3y - 6 = 2y - 1. Subtracting 2y from both sides and adding 6 gives y = 5.
Class 7,Maths,Simple Equations,Section B,SHORT ANSWER,A number is 12 more than its one-third. Find the number.,Let the number be x. Then x = x/3 + 12. Multiplying the entire equation by 3 gives 3x = x + 36. Subtracting x gives 2x = 36 so x = 18.
Class 7,Maths,Simple Equations,Section B,SHORT ANSWER,The sum of two consecutive even numbers is 74. Find the numbers.,Let the even numbers be x and x + 2. Their sum is 2x + 2 = 74. Subtracting 2 gives 2x = 72 so x = 36. The numbers are 36 and 38.
Class 7,Maths,Simple Equations,Section C,LONG ANSWER,A purse contains 2 rupee and 5 rupee coins. The total number of coins is 30 and the total value of money in the purse is 90 rupees. Find the number of coins of each type.,Let the number of 5 rupee coins be x. Then the number of 2 rupee coins is 30 - x. The total value is 5x + 2(30 - x) = 90. Expanding gives 5x + 60 - 2x = 90 which simplifies to 3x + 60 = 90. Subtracting 60 gives 3x = 30 so x = 10. Number of 5 rupee coins is 10 and 2 rupee coins is 20.
